年齡,工作,婚姻,學歷,連絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
45.0,技術員,單身,博士,市話,287.0,4,96.134,-27.9,偶爾
42.0,技術員,已婚,小學,市話,588.0,5,72.910,37.1,頻繁
41.0,藍領,未知,大學,手機,249.0,10,78.771,6.8,一次
47.0,自僱人士,已婚,國中,市話,323.0,5,86.281,-46.6,偶爾
56.0,無業,離婚,高中,市話,717.0,12,95.280,33.9,偶爾
63.0,經理,已婚,大學,市話,199.0,6,68.734,33.2,從未
50.0,主管,離婚,大學,手機,502.0,1,70.964,8.8,一次
67.0,技術員,已婚,專科,手機,869.0,2,61.038,-44.0,頻繁
21.0,無業,已婚,高職,市話,574.0,9,88.051,12.1,偶爾
69.0,主管,單身,高職,手機,575.0,10,81.309,-29.8,頻繁
46.0,企業家,離婚,大學,市話,494.0,7,81.448,19.7,頻繁
30.0,藍領,未知,專科,市話,906.0,1,83.384,-37.7,一次
28.0,無業,單身,專科,手機,121.0,2,64.754,9.1,從未
64.0,服務業,單身,小學,手機,756.0,9,98.063,26.6,一次
32.0,退休,離婚,小學,市話,305.0,5,75.718,-19.0,從未
54.0,未知,單身,高職,手機,646.0,3,73.414,20.9,一次
45.0,經理,已婚,高職,市話,251.0,5,97.923,13.5,偶爾
54.0,退休,單身,高中,市話,436.0,7,95.359,-24.3,一次
30.0,技術員,單身,專科,手機,245.0,4,76.152,14.7,一次
50.0,未知,離婚,國中,市話,823.0,12,63.527,34.7,偶爾
69.0,學生,未知,博士,市話,377.0,2,96.820,-33.2,一次
27.0,退休,單身,小學,市話,40.0,2,83.924,-38.2,從未
41.0,主管,未知,高職,手機,784.0,3,62.655,12.3,一次
44.0,主管,已婚,小學,手機,920.0,7,79.154,-37.1,一次
50.0,經理,已婚,大學,市話,642.0,2,83.735,-17.0,從未
40.0,技術員,離婚,高職,手機,923.0,9,93.945,-10.4,頻繁
67.0,未知,離婚,高中,市話,597.0,3,77.007,1.7,偶爾
61.0,企業家,單身,高中,市話,824.0,10,89.724,-21.6,從未
33.0,學生,單身,高中,市話,709.0,12,76.066,-44.1,頻繁
49.0,家管,已婚,專科,手機,184.0,11,83.393,6.1,偶爾
50.0,未知,單身,小學,市話,313.0,5,95.352,-28.6,偶爾
43.0,主管,單身,高職,手機,193.0,6,74.658,32.5,頻繁
44.0,家管,離婚,小學,手機,726.0,8,61.896,-41.2,偶爾
65.0,未知,已婚,國中,手機,272.0,10,90.937,46.1,頻繁
24.0,未知,單身,大學,手機,352.0,6,87.709,26.5,頻繁
21.0,主管,單身,博士,市話,222.0,4,62.696,20.4,偶爾
29.0,家管,離婚,高職,市話,673.0,7,71.869,-7.4,從未
62.0,藍領,已婚,高中,手機,899.0,2,93.959,19.6,偶爾
68.0,技術員,未知,博士,手機,481.0,8,68.994,-8.7,偶爾
46.0,自僱人士,已婚,博士,市話,899.0,3,77.533,41.1,偶爾
21.0,未知,單身,小學,市話,356.0,8,96.438,-9.5,頻繁
25.0,未知,已婚,國中,市話,867.0,8,92.502,42.4,偶爾
21.0,藍領,未知,專科,市話,888.0,2,63.024,-46.9,一次
22.0,服務業,已婚,高中,市話,214.0,3,98.792,14.1,從未
66.0,藍領,未知,國中,市話,330.0,1,95.085,22.6,偶爾
43.0,學生,已婚,小學,市話,441.0,12,81.590,-47.4,頻繁
20.0,未知,離婚,專科,市話,819.0,4,69.076,-35.5,一次
30.0,企業家,離婚,高職,手機,70.0,3,64.502,-48.7,一次
58.0,服務業,離婚,博士,手機,837.0,11,72.933,-26.9,從未
39.0,藍領,離婚,專科,市話,186.0,10,77.219,4.1,頻繁
41.0,無業,已婚,國中,市話,213.0,5,60.041,-19.7,一次
23.0,退休,已婚,高職,手機,825.0,2,79.805,-20.6,頻繁
52.0,未知,未知,專科,手機,305.0,5,80.175,-17.1,頻繁
67.0,主管,離婚,博士,手機,391.0,12,65.422,5.9,頻繁
24.0,企業家,離婚,高中,手機,703.0,7,71.824,8.9,從未
48.0,退休,離婚,博士,手機,978.0,3,76.291,-24.0,偶爾
20.0,主管,單身,高職,市話,141.0,9,61.054,-41.5,從未
39.0,學生,已婚,小學,市話,699.0,9,89.134,-44.9,偶爾
