類別,標題
政治,青年座談不被AI取代的關鍵力　葉丙成：只有這兩種人才能真正把握時間紅利
政治,蕭美琴直播初體驗曝「咪琴嚴選」　邀網友挺花蓮
政治,疑似國軍「在美受訓」照曝光！　陸軍不評論
政治,「蔡英文、柯文哲有談NCC」　府：沒談人選、政黨比例更沒私下喬
政治,總統府否認蔡英文向柯喬NCC委員　黃國昌嗆：醜聞被揭露還敢說謊
政治,赴陸團禁令何時能解除？　洪孟楷批：研議再研議想擺爛就直說
政治,救援準備不能等！北市搜救犬不足　王欣儀：應動二備金即刻擴編
政治,黃國昌爆蔡英文跟柯文哲喬NCC委員　總統府：他沒與會言論非事實
政治,行政院明提追加預算　撥補台電1000億止虧減負擔
政治,行政法人也需繳稅了　行政院明通過財政部《所得稅法》修正草案
政治,傅崐萁強押立院提案「中國」改大陸、禁稱我國　綠委：改叫大陸國民黨
政治,準NCC主委宣示打詐卻曾遭騙數百萬　王鴻薇：他有能力反詐打詐？
政治,元大稱與柯市府談內湖數位園區　產發局：會議主要針對北士科
政治,「好可怕喔！同志抹黑出動了」　陳亭妃提告「某民代」求償百萬
政治,藍白聯手「NCC組織法修正案」送協商　綠轟：還沒受孕就墮胎！
政治,「國宴國家隊」秘籌賴清德就職國宴　摘星飲食顧問團曝光
政治,提案阻「立委性騷」挨轟疊床架屋　范雲親揭原因
政治,賴清德就職「巨幅國旗」登場　F-16、幻象、IDF、勇鷹全衝場
政治,郭國文選黨部主委挺林俊憲選市長　陳亭妃：黨部主委是公共財
政治,陳耀祥備詢前與綠黨團「密室協商」　藍怒轟NCC：獨立性蕩然無存
政治,樂天桃園棒球場改善完工　張善政：洪總也給正面評價！
政治,貼「蔡英文尊者圖」！　吳宗憲喊：民進黨好大我不怕
政治,黃國昌爆蔡英文與柯文哲當面喬NCC委員　「藍2席、綠白各1席」
政治,新內閣女性僅26.5%　學者批「地板當天花板」：恐將年輕選民推遠
政治,耗資逾1.2億！青年局將成立卻不提預算墊付案　綠議員：蔣萬安偷吃步
政治,不合規！人行道留1.2公尺就能停機車　綠批蔣萬安：行人地獄18層
政治,質詢陳耀祥爆口角　林國成：將這個「NCC傲慢主委」移送監察院
政治,福建陸客到馬祖　陸委會：已經開放了但要對岸遞件
政治,國際路線依循蔡英文　賴清德：延續穩健、負責、可靠
政治,反核還是「返核」？　學者：關鍵在賴清德
政治,賴清德：民進黨與勞工站在一起　承諾鼓勵企業加薪
